pid,label,autores,_resena,_resenado,descripcion,keyword,editores,grupo,fecha,ciudad,pais,conseguido,tipo_principal,nota,medio_impresion,intervencion_manual,portada_color,portada_especial,internas_color,papel_portada_color,compaginado,_nota_archivo
grawlixes2va_lp4u3h4988,Programming with grawlixex 2. How Grawlixes Structured Comix,Marc van Elburg,,No,,grawlixes2valelburg,,,2014,,Países Bajos,Regalo de Ocean Val Arboniés Flores,Texto,,Fotocopia,no,no,No,no,no,Cuadernillo,
grimoriobara_lp4ue4h7nl,Grimorio de Conjuros Musicales de ((Barakus)),"Alex Cendales ""Barakus"", Mario Alberto León Bonilla",Chocolate de Canela.,No,,grimoriobarakus,,,2017,Bogotá,Colombia,Comprado a autor,Ilustración,Incluye CD musical,Digital,no,no,No,no,sí,Cuadernillo,
groundskeepe_lp4uf2r9ka,Groundskeepers,AnneMarie Rogers,Edición muy bella y recursiva.,No,,groundskeepersannemarierogers,,,2023,Chicago,Estados Unidos,Comprado en Quimby´s Chicago,Cómic,,Digital,no,duo,No,duo,no,Cuadernillo,
lacasadelasl_lp4u2jj17s,La casa de las luces que estallan,Gatoenbus,"Edición muy bella, composiiciones cuidadas.",No,,lacasadelaslucesqueestallangatoenbus,,Chigüiro Comix,2020,Pereira,Colombia,Comprado en feria Papel Caliente,Cómic,,Digital,no,no,No,no,no,Cuadernillo,
libroparacol_lp4u2xte44,Libro para coloriar,"José Guio, Malchico, Ángela Acosta","Posibilidades materiales de fanzine. Tiraje pequeño. Pegotes, dobleces, rayones con marcador.",No,,libroparacoloriarvolcan,,,2009,Bogotá,Colombia,Comprado en feria,Ilustración,"Páginas de distintos tipos y tamaños, intervenciones manuales",Fotocopia,sí,no,No,no,no,Cuadernillo,
maestrosinu0_lp4ty26k94,Colección Grandes Maestros del Cómic Colombiano,Inu Waters,Importante dentro de la historia del fanzine.,No,,maestrosinu,,,2006,Bogotá,Colombia,Comprado en feria,Cómic,,Offset,no,duo,No,no,no,Cuadernillo,
mastercopyme_lp4uelchmj,Master/Copy. Juan & Wilson [1995 - 1998],"Juan Mejía, Wilson Díaz",,No,Catálogo de la exposición con el mismo nombre sobre la obra conjunta de los artistas Juan Mejía y Wilson Díaz,mastercopymejiadiaz,,,2012,Bogotá,Colombia,Gratis en la exposición,Fotografía,,Offset,no,full,No,full,no,Cuadernillo,
milagrossins_lp4sfoa5bk,Milagros,"Sebastián Arriaga, Rafael Díaz, Sergio Rodríguez Gómez, José Sanín",Los errores que cometimos como primiparos editoriales.,No,,milagrossinserifa,,,2012,Bogotá,Colombia,Elaboración propia,Ilustración,,Offset,no,no,No,no,no,Plegable,
mostrillocon_lp4uecvdza,Mostrillo,"Juan Alberto Conde Aldana, Camilo Conde Aldana",,No,,mostrillocondealdana,,,2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Cómic,,Offset,no,full,No,full,no,Cuadernillo,
nostalgiajul_lp4u3o1f4g,nostalgia,Julián Bermúdez Ramírez,,No,,nostalgiajulianbermidezramirez,,"Primario,Palm Press",2022,Bogotá,Colombia,Comprado en feria,Ilustración,,Offset,no,full,No,full,no,Cuadernillo,
